Order_ID,Order_Date,Customer_ID,Product,Quantity,Unit_Price,Revenue
1001,2024-01-01,4,Tablet,1,5000,5000
1002,2024-01-02,6,Mobile,1,15000,15000
1003,2024-01-03,2,Tablet,2,20000,40000
1004,2024-01-04,5,Tablet,2,30000,60000
1005,2024-01-05,7,Mobile,3,20000,60000
1006,2024-01-06,6,Laptop,4,20000,80000
1007,2024-01-07,7,Tablet,1,5000,5000
1008,2024-01-08,3,Mobile,2,30000,60000
1009,2024-01-09,1,Mobile,1,15000,15000
1010,2024-01-10,6,Headphones,3,30000,90000
1011,2024-01-11,6,Mobile,4,15000,60000
1012,2024-01-12,1,Tablet,3,30000,90000
1013,2024-01-13,5,Headphones,3,30000,90000
1014,2024-01-14,6,Mobile,2,20000,40000
1015,2024-01-15,5,Laptop,1,30000,30000
1016,2024-01-16,3,Laptop,3,15000,45000
1017,2024-01-17,7,Mobile,3,15000,45000
1018,2024-01-18,1,Tablet,1,15000,15000
1019,2024-01-19,6,Headphones,2,5000,10000
1020,2024-01-20,4,Laptop,3,30000,90000
